student_id,age,gender,class_completed,state,city,school_type,socio_economic_status,internet_access,device_access,parental_education,extracurricular,quantitative_score,logical_score,verbal_score,creative_score,technical_score,suggested_stream,aggregate_percentage,top_recommended_course_1,top_recommended_course_2,recommended_career_1,recommended_career_2,prefers_government_college,simulated_govt_college_cutoff,scholarship_eligibility,dropout_risk_score,latitude,longitude,admission_year_predicted,admission_status_current,notifications_sent,seed_generated_on,assigned_college_id
STU202500001,18,Female,10,Gujarat,CityD,Government,Middle,Yes,Shared Phone/Tablet,No formal education,Coding Club,38.0,41.2,59.7,71.9,35.5,Science (PCM),58.6,B.Tech/BE - Engineering,Integrated M.Sc,Researcher,Engineer,Yes,55.3,No,48,20.816235,77.285111,,Applied,3,2025-10-07 20:53:56,COLL0167
STU202500002,15,Female,12,Jharkhand,CityD,Private,Lower-Middle,No,None,Primary,Coding Club,14.1,20.1,50.7,48.8,13.1,Commerce,82.0,BMS,BBA,Business Analyst,Entrepreneur,Yes,70.8,Need-based,72,22.725103,78.499739,2025.0,Not Applied,5,2025-10-07 20:53:56,COLL0111
STU202500003,15,Female,12,Maharashtra,CityH,Private,High,Yes,Smartphone,Graduate,None,47.2,44.3,44.8,67.0,49.7,Commerce,47.8,B.Com (Hons),BBA,Accountant,Entrepreneur,No,59.7,No,66,20.262659,74.662099,2025.0,Accepted,1,2025-10-07 20:53:56,COLL0451
STU202500004,16,Female,12,Kerala,CityE,Private,Middle,Yes,Smartphone,Secondary,Volunteering,49.7,50.4,52.0,66.4,67.5,Mixed,61.4,Diploma,Polytechnic,Counselor,Administrative Staff,Yes,54.3,No,58,22.63566,78.796803,2025.0,Applied,7,2025-10-07 20:53:56,COLL0131
STU202500005,20,Male,12,Chhattisgarh,CityD,Private,Middle,No,Smartphone,No formal education,Debate,39.8,24.0,68.2,61.7,16.3,Humanities,49.6,BJMC - Journalism,B.A. (Psychology),Teacher,Civil Services,No,46.9,No,85,23.574637,79.516325,2025.0,Not Applied,11,2025-10-07 20:53:56,COLL0154
STU202500006,17,Male,12,Kerala,CityH,Government,Low,No,Smartphone,Graduate,Coding Club,66.6,79.6,58.6,65.8,27.6,Commerce,64.4,B.Com (Hons),CA Foundation,Banker,Accountant,No,72.5,Need-based,57,22.685002,78.517955,2025.0,Applied,7,2025-10-07 20:53:56,COLL0243
STU202500007,20,Male,10,West Bengal,CityC,Private,Middle,Yes,Smartphone,Primary,Coding Club,56.7,66.7,61.1,53.4,59.0,Commerce,89.4,B.Com (Hons),BMS,Accountant,Banker,No,74.4,Merit-based,60,19.814076,75.996571,,Not Applied,8,2025-10-07 20:53:56,COLL0215
STU202500008,16,Female,12,Odisha,CityB,Government,Low,Yes,Computer,Graduate,None,33.1,30.3,54.0,65.5,94.9,Science (PCB),70.7,MBBS/MBBS (NEET track),B.Sc (Microbiology),Clinical Researcher,Pharmacist,Yes,67.4,Need-based,47,21.574421,77.557101,2025.0,Applied,5,2025-10-07 20:53:56,COLL0364
STU202500009,19,Female,12,Haryana,CityA,Private,Lower-Middle,Yes,Smartphone,Professional,Internship,54.2,49.9,63.5,77.4,56.4,Commerce,69.3,BMS,BBA,Accountant,Entrepreneur,No,74.3,Need-based,51,23.107213,79.201938,2025.0,Waitlisted,1,2025-10-07 20:53:56,COLL0402
STU202500010,15,Female,12,Chhattisgarh,CityC,Government,Lower-Middle,Yes,Smartphone,Graduate,Coding Club,73.3,60.2,40.2,34.1,17.3,Science (PCB),100.0,B.Sc (Biology),B.Sc (Microbiology),Clinical Researcher,Biotechnologist,No,72.3,Merit-based,61,23.200182,79.095864,2025.0,Not Applied,7,2025-10-07 20:53:56,COLL0703
STU202500011,15,Female,12,Karnataka,CityD,Government,Low,Yes,Smartphone,No formal education,Volunteering,46.1,44.6,40.6,30.7,77.2,Vocational,78.6,Diploma (Automobile),Certificate (Retail),Technician,Retail Supervisor,No,40.6,Need-based,54,21.771105,76.322056,2025.0,Applied,3,2025-10-07 20:53:56,COLL0395
STU202500012,20,Male,12,Chhattisgarh,CityC,Private,Upper-Middle,Yes,Smartphone,Secondary,Coding Club,57.4,45.7,74.4,83.5,69.8,Science (PCB),51.3,B.Sc (Biology),MBBS/MBBS (NEET track),Doctor,Clinical Researcher,Yes,65.5,No,40,23.576057,79.907137,2025.0,Not Applied,7,2025-10-07 20:53:56,COLL0551
STU202500013,15,Female,10,West Bengal,CityA,Private,Lower-Middle,No,Smartphone,Primary,Coding Club,58.5,46.5,68.4,73.6,22.6,Commerce,58.5,BBA,CA Foundation,Business Analyst,Entrepreneur,Yes,65.5,No,64,20.383911,75.66902,,Accepted,1,2025-10-07 20:53:56,COLL0435
STU202500014,15,Male,12,Chhattisgarh,CityB,Government,High,No,Shared Phone/Tablet,Postgraduate,Internship,41.5,56.9,41.7,37.8,70.3,Vocational,44.6,ITI - Electrician,Diploma (Automobile),Retail Supervisor,Skilled Tradesperson,Yes,47.3,No,99,22.917755,79.30539,2025.0,Accepted,0,2025-10-07 20:53:56,COLL0591
